point,time_s,signal_raw,signal_scaled
97,19.025580750,955231,455.489635468
98,19.221339315,984447,469.420909882
99,19.417097879,1014796,483.892440796
100,19.612856444,1046219,498.876094818
101,19.808615008,1078642,514.336585999
102,20.004373573,1103639,526.256084442
103,20.200132137,1107786,528.233528137
104,20.395890701,1137573,542.437076569
105,20.591649266,1171931,558.82024765
106,20.787407830,1206581,575.342655182
107,20.983166395,1241512,591.999053955
108,21.178924959,1276732,608.793258667
109,21.374683524,1312244,625.726699829
110,21.570442088,1348064,642.807006836
111,21.766200653,1384215,660.045146942
112,21.961959217,1420712,677.448272705
113,22.157717781,1457570,695.023536682
114,22.353476346,1494820,712.785720825
115,22.549234910,1532488,730.7472229
116,22.744993475,1570586,748.913764954
117,22.940752039,1609101,767.279148102
118,23.136510604,1648032,785.842895508
119,23.332269168,1687374,804.602622986
120,23.528027732,1727101,823.54593277
121,23.723786297,1767195,842.664241791
122,23.919544861,1807629,861.944675446
123,24.115303426,1848373,881.372928619
124,24.311061990,1889393,900.932788849
125,24.506820555,1930645,920.603275299
126,24.702579119,1972069,940.35577774
127,24.898337684,2013589,960.154056549
128,25.094096248,2055111,979.953289032
129,25.289854812,2096609,999.741077423
130,25.485613377,2138041,1019.49739456
131,25.681371941,2179357,1039.19839859
132,25.877130506,2220505,1058.81929398
133,26.072889070,2261421,1078.32956314
134,26.268647635,2302049,1097.7025032
135,26.464406199,2342270,1116.88137054
136,26.660164763,2381971,1135.81228256
137,26.855923328,2421065,1154.45375443
138,27.051681892,2459484,1172.77336121
139,27.247440457,2497158,1190.7377243
140,27.443199021,2534009,1208.30965042
141,27.638957586,2569934,1225.44002533
142,27.834716150,2604862,1242.09499359
143,28.030474715,2638704,1258.2321167
144,28.226233279,2671383,1273.81467819
145,28.421991843,2702825,1288.80739212
146,28.617750408,2732963,1303.17831039
147,28.813508972,2761737,1316.89882278
148,29.009267537,2789028,1329.91218567
149,29.205026101,2814776,1342.18978882
150,29.400784666,2838937,1353.7106514
151,29.596543230,2861497,1364.46809769
152,29.792301794,2882424,1374.4468689
153,29.988060359,2901729,1383.65221024
154,30.183818923,2919448,1392.10128784
155,30.379577488,2923594,1394.0782547
156,30.575336052,2939674,1401.7457962
157,30.771094617,2954044,1408.59794617
158,30.966853181,2966685,1414.62564468
159,31.162611746,2977635,1419.84701157
160,31.358370310,2986888,1424.25918579
161,31.554128874,2994426,1427.85358429
162,31.749887439,3000323,1430.66549301
163,31.945646003,3004656,1432.73162842
164,32.141404568,3007439,1434.05866623
165,32.337163132,3008607,1434.61561203
166,32.532921697,3008143,1434.39435959
167,32.728680261,3006103,1433.42161179
168,32.924438825,3002544,1431.72454834
169,33.120197390,2997494,1429.31652069
170,33.315955954,2990981,1426.21088028
171,33.511714519,2983101,1422.45340347
172,33.707473083,2973926,1418.07842255
173,33.903231648,2963472,1413.09356689
174,34.098990212,2951702,1407.48119354
175,34.294748777,2938641,1401.25322342
176,34.490507341,2924322,1394.42539215
177,34.686265905,2908780,1387.01438904
178,34.882024470,2892080,1379.0512085
179,35.077783034,2874333,1370.58877945
180,35.273541599,2855647,1361.67860031
181,35.469300163,2836015,1352.31733322
182,35.665058728,2815373,1342.4744606
183,35.860817292,2793745,1332.16142654
184,36.056575856,2771213,1321.4173317
185,36.252334421,2747809,1310.25743484
186,36.448092985,2723548,1298.68888855
187,36.643851550,2698525,1286.75699234
188,36.839610114,2672885,1274.5308876
189,37.035368679,2646681,1262.03584671
190,37.231127243,2619872,1249.25231934
191,37.426885808,2592453,1236.1779213
192,37.622644372,2564464,1222.83172607
193,37.818402936,2535968,1209.24377441
194,38.014161501,2507028,1195.44410706
195,38.209920065,2477698,1181.45847321
196,38.405678630,2448042,1167.31739044
197,38.601437194,2418115,1153.04708481
198,38.797195759,2387960,1138.6680603
199,38.992954323,2357603,1124.19271469
200,39.188712887,2327047,1109.62247849
201,39.384471452,2296319,1094.97022629
202,39.580230016,2265461,1080.25598526
203,39.775988581,2234482,1065.48404694
204,39.971747145,2203387,1050.6567955
205,40.167505710,2172171,1035.77184677
206,40.363264274,2176318,1037.74929047
207,40.559022838,2145008,1022.81951904
208,40.754781403,2113658,1007.87067413
209,40.950539967,2082310,992.922782898
210,41.146298532,2050996,977.991104126
211,41.342057096,2019741,963.087558746
212,41.537815661,1988587,948.23217392
213,41.733574225,1957570,933.442115784
214,41.929332790,1926680,918.712615967
215,42.125091354,1895906,904.03842926
216,42.320849918,1865261,889.425754547
217,42.516608483,1834777,874.889850616
218,42.712367047,1804474,860.440254211
219,42.908125612,1774372,846.086502075
220,43.103884176,1744511,831.847667694
221,43.299642741,1714925,817.739963531
